"ID","Field","Clay","Sand","Score_PC1","Score_PC2","Score_PC3"
1,"A",406,298,-225.592887853496,-96.1126104185085,-17.0889529955688
2,"A",413,297,-156.888054074866,-39.1341964763114,-13.553883198936
3,"A",407,298,-257.958591530065,-131.575311838535,-21.4770356436544
4,"A",408,300,-195.297265009852,-79.6679831673136,-17.8237364722305
5,"A",393,282,-138.951313367692,-30.8724559656432,-14.8047153029207
6,"A",406,294,-118.254709000232,-12.7771943057447,-12.5642814457451
7,"A",438,268,-165.03856243478,-49.5105636247888,-15.5958165607655
8,"A",413,291,-80.045059456484,36.8455355690698,-8.21466036576611
9,"A",399,269,-104.465268238574,8.6544318527619,-12.3249940203378
10,"A",385,319,-140.033699745288,-30.6963675606621,-15.5009956875467
11,"A",407,285,-226.851045733939,-103.392067605467,-22.9350094788684
12,"A",403,300,-77.5420493718987,12.9732149131474,-13.1625032071299
13,"A",380,299,-206.826487596948,-78.2897101807329,-19.0837791364422
14,"A",382,331,-117.077540457143,-16.0850965717171,-14.1459784158395
15,"A",384,313,-122.515846374135,-24.9498240809891,-15.3457122645445
16,"A",384,294,-145.804910258595,-34.6747417567376,-15.4059912225116
17,"A",381,297,-38.0228601008266,46.8838929425603,-10.0404665630107
18,"A",405,282,-161.194657430577,-28.9141662776585,-13.3944021020704
19,"A",409,282,-227.659490569331,-100.778009743153,-20.4872269451709
20,"A",384,312,-155.470986148874,-25.7221827681756,-14.1995989662186
21,"A",431,295,-34.8598508660818,43.0946873762327,-11.9481457815102
22,"A",411,311,-236.981264246493,-111.49034128948,-20.4204490058375
23,"A",378,310,-119.871813024726,-7.42925983867881,-6.96238887522379
24,"A",457,287,-280.386018800234,-107.731857627136,-10.9845674912539
25,"A",407,301,-132.660067772788,-4.23195671331348,-2.56396222129341
26,"A",511,261,-181.345006842231,-33.1885123087898,-6.49793128588272
27,"A",456,293,-152.528080479853,-35.1452414997078,-7.72043167739872
28,"A",406,299,-103.346800968157,6.86330856278972,-6.59396835875082
29,"A",461,286,-205.842286772028,-65.2411749365983,-13.8142075628725
30,"A",489,233,-234.34390120598,-78.2372285716785,-10.7330558347702
31,"A",431,290,-103.619558874113,22.4205879066719,-4.17189512234976
32,"A",407,309,-49.6166687060371,52.638745926131,-0.474909864190363
33,"A",386,315,-135.428421523392,18.3928369281133,-0.205065374818056
34,"A",489,270,-314.611978519706,-135.09624672761,-11.9219759304651
35,"A",464,269,-113.834011563557,28.4213152497812,-0.547881328424352
36,"A",454,255,-125.40121991509,25.3471791979736,-2.67937466628408
37,"A",465,284,-239.241753833926,-70.7055031430886,-10.8055943320938
38,"A",492,293,-67.1841168591156,76.5804028032857,-0.221842429656083
39,"A",407,308,-198.683437733842,-57.3071973802701,-8.87803779709424
40,"A",463,268,102.500926887799,206.363085032931,9.15946360176273
41,"A",387,302,-133.280606676705,-5.11220716954867,-6.15843792589954
42,"A",384,311,-29.8212348759683,72.0530654491073,-0.242530343371102
43,"A",463,282,-57.0217205366715,81.2713098498956,1.68275090980436
44,"A",492.7264,291.4938,-455.420155624727,-290.432482399411,-32.0815205444816
45,"A",431,287,-14.5724037716617,64.8556211405148,-15.3943573294988
46,"A",409,295,-186.847627831074,-73.4403697975948,-24.7543166496465
47,"A",419.2936,302.2158,-345.360552535856,-176.627058245229,-14.0343752799135
48,"A",429,309,-119.094437532409,28.9852949528266,-0.515735934294096
49,"A",442.0228,291.4938,-418.97716162914,-232.212165131242,-19.3487045055728
50,"A",469.9972,312.9378,-411.891542797079,-252.4508983428,-23.0139400198509
51,"A",366.8416,334.3818,-387.631547641112,-235.594448548936,-21.7847612220239
52,"A",361.5964,334.3818,-511.56064408339,-330.338856931147,-26.3321280335859
53,"A",358.0996,334.3818,-430.19174153963,-257.756561436352,-22.2700006963459
54,"A",445.5196,302.2158,-503.360280534389,-316.211080275174,-25.4790583184646
55,"A",463.0036,302.2158,-337.666657526666,-180.461074982402,-13.3260334110391
56,"A",375.5836,312.9378,-539.556037864602,-348.874016194109,-26.7455062056138
57,"A",345.8608,302.2158,-401.634383473751,-229.41198403667,-18.4791308787415
58,"A",345.8608,334.3818,-491.289925255099,-316.485250695373,-27.2473855838216
59,"B",225,741,208.276031609272,44.6087887579065,15.7189808107148
60,"B",176,788,322.275063772465,115.763388191282,22.9180448494702
61,"B",327,643,164.382993394923,12.4033785757954,9.54427109775112
62,"B",250,724,220.869570292657,50.7412193455901,20.7805985037554
63,"B",226,738,262.510679549765,69.2055916541978,19.9653062249318
64,"B",327,636,250.038042786618,107.367622261538,19.537517174495
65,"B",251,715,314.082793379104,151.006658630159,21.5637714350486
66,"B",175,793,235.747307779437,35.0013242841902,11.8451265660159
68,"B",288,685,156.313930432729,-0.684652932746183,4.72211201030697
70,"B",175,792,215.319657741229,20.9670065538126,9.87905255824707
71,"B",201,781,258.177279834488,68.1110650909841,12.0808098200734
72,"B",239,735,269.755231311388,91.9742775662557,24.176184591977
73,"B",323,664,229.103786904784,41.2839347764305,17.419529752458
74,"B",250,720,332.876186434857,139.465606973177,23.282767772315
75,"B",251,738,296.734478145883,106.076128423888,20.3552611378468
76,"B",251,718,453.357522016182,245.269647407535,32.3039843063193
77,"B",326,664,283.714177775648,115.404868932114,20.9829211721241
78,"B",201,765,337.211808133351,121.000442347821,23.3750303738848
79,"B",226,758,323.458753532453,110.393777544426,24.1976450241828
80,"B",226,759,270.673407385984,107.155978670609,27.1485760415423
81,"B",277,693,234.086746430053,57.4925726311606,24.878169736508
82,"B",327,637,250.792779701638,109.960808750307,27.864296909333
83,"B",328,647,197.5071776758,46.0272065031666,13.9984889992764
84,"B",251,719,152.977025427064,-15.0487068357468,10.4249126836614
85,"B",201,761,313.025723191514,91.5120281929318,21.7125699566025
86,"B",328,645,267.566868309834,96.1562808581857,13.0138927235802
87,"B",326,644,237.415656779074,69.0424199009309,10.6562714219863
88,"B",201,777,285.4339268212,74.4673618880696,15.7254457958947
89,"B",301,678,212.408805844141,41.312814827707,8.82653884869222
90,"B",250,713,289.230925022541,106.075217084292,15.3652971539579
91,"B",200,781,418.388049736294,214.91001937898,21.321182924565
92,"B",226,735,431.653834773665,205.839219168798,22.100196633228
93,"B",176,805,405.953859458415,213.908464359055,23.6645969697549
94,"B",226,734,304.48482023787,95.8204639499058,15.6606744376969
95,"B",250,738,276.277539325527,123.263288701704,14.9562246752824
96,"B",250,718,245.458406772468,74.0471980974674,12.0177752280695
97,"B",225,738,358.818331908305,140.962376609209,20.2284364598143
98,"B",276,701,268.89506724765,96.1887934935143,12.8921911758517
99,"B",224,763,572.279224978014,335.85453314621,33.0910625227946
100,"B",200,782,297.342194147904,85.133079326622,16.8937355094802
101,"B",227,746,246.551827668656,55.6585250780179,12.1511715551337
102,"B",276,696,92.5277844322343,-69.3790772547643,2.42050976142215
